Class,Identifiers,Address,Type,Initial Value,Comment
VAR,SW_DESB_R2206,D1000,WORD,,STATUS WORD DESBOBINADOR
VAR,IW_DESB_R210C_ACT_VEL,D1001,WORD,,VELOCIDADE ATUAL DESBOBINADOR
VAR,IW_DESB_R2104_ACT_CURT,D1002,WORD,,CORRENTE ATUAL DESBOBINADOR
VAR,SW_INTR_R2206,D1003,WORD,,STATUS WORD INTRODU플O DE CHAPA
VAR,IW_INTR_R210C_ACT_VEL,D1004,WORD,,VELOCIDADE ATUAL INTRODU플O DE CHAPA
VAR,IW_INTR_R2104_ACT_CURT,D1005,WORD,,CORRENTE ATUAL INTRODU플O DE CHAPA
VAR,SW_EXTR_R2206,D1006,WORD,,STATUS WORD EXTRATOR DE CHAPA
VAR,IW_EXTR_R210C_ACT_VEL,D1007,WORD,,VELOCIDADE ATUAL EXTRATOR DE CHAPA
VAR,IW_EXTR_R2104_ACT_CURT,D1008,WORD,,CORRENTE ATUAL EXTRATOR DE CHAPA
VAR,CW_DESB_R2000,D1100,WORD,,CONTROL WORD DESBOBINADOR
VAR,QW_DESB_R2001_VEL_REF,D1101,WORD,,VELOCIDADE DE REF DESBOBINADOR
VAR,QW_DESB_R2002_REST_COMD,D1102,WORD,,RESET REMOTO DESBOBINADOR
VAR,CW_INTR_R2000,D1103,WORD,,CONTROL WORD INTRUDU플O DE CHAPA
VAR,QW_INTR_R2001_VEL_REF,D1104,WORD,,VELOCIDADE DE REF INTRUDU플O DE CHAPA
VAR,QW_INTR_R2002_REST_COMD,D1105,WORD,,RESET REMOTO INTRUDU플O DE CHAPA
VAR,CW_EXTR_R2000,D1106,WORD,,CONTROL WORD EXTRATOR DE CHAPA
VAR,QW_EXTR_R2001_VEL_REF,D1107,WORD,,VELOCIDADE DE REF EXTRATOR DE CHAPA
VAR,QW_EXTR_R2002_REST_COMD,D1108,WORD,,RESET REMOTO EXTRATOR DE CHAPA
