Define Name,Type,Address,Description
BTN_MAN,BIT,{PLC}1@%MX5000.0,BOTAO MANUAL
BTN_AUT,BIT,{PLC}1@%MX5000.1,BOTAO AUTOMATICO
BTN_PASSO_ESTEIRA,BIT,{PLC}1@%MX5000.2,BOTAO PASSO ESTEIRA
BTN_PASSO_ELEVADOR,BIT,{PLC}1@%MX5000.3,BOTAO PASSO ELEVADOR
BTN_EXPULSA_LAYERS,BIT,{PLC}1@%MX5000.4,BOTAO EXPULSA LAYERS
BTN_HOME_ELEVADOR,BIT,{PLC}1@%MX5000.5,BOTAO HOME ELEVADOR
BTN_HOME_TRAVE,BIT,{PLC}1@%MX5000.6,BOTAO HOME TRAVE
BTN_HOME_MORSA,BIT,{PLC}1@%MX5000.7,BOTAO HOME MORSA
BTN_SETUP_MACHINE,BIT,{PLC}1@%MX5001.0,BOTAO SETUP MACHINE
BTN_DESLG_ELEVADOR,BIT,{PLC}1@%MX5001.1,BOTAO DESLIGA ELEVADOR ELEVADOR
BTN_RESET_ALARME,BIT,{PLC}1@%MX5001.2,BOTAO RESET ALARME REMOTO
BTN_RESERVA,BIT,{PLC}1@%MX5001.3,BOTAO RESERVA
BTN_JOG_MORSA_POS,BIT,{PLC}1@%MX5001.4,BOTAO JOG MORSA POSITIVO
BTN_JOG_MORSA_NEG,BIT,{PLC}1@%MX5001.5,BOTAO JOG MORSA NEGATIVO
BTN_JOG_TRAVE_POS,BIT,{PLC}1@%MX5001.6,BOTAO JOG TRAVE POSITIVO
BTN_JOG_TRAVE_NEG,BIT,{PLC}1@%MX5001.7,BOTAO JOG TRAVE NEGATIVO
BTN_JOG_POSIC_POS,BIT,{PLC}1@%MX5002.0,BOTAO JOG POSICIONADOR POSITIVO
BTN_JOG_POSIC_NEG,BIT,{PLC}1@%MX5002.1,BOTAO JOG POSICIONADOR NEGATIVO
BTN_JOG_ELEV_POS,BIT,{PLC}1@%MX5002.2,BOTAO JOG ELEVADOR POSITIVO
BTN_JOG_ELEV_NEG,BIT,{PLC}1@%MX5002.3,BOTAO JOG ELEVADOR NEGATIVO
BTN_JOG_ESTEIR_POS,BIT,{PLC}1@%MX5002.4,BOTAO JOG ESTEIRA POSITIVO
BTN_JOG_ESTEIR_NEG,BIT,{PLC}1@%MX5002.5,BOTAO JOG ESTEIRA NEGATIVO
BTN_ABRE_MORSA_MOVEL,BIT,{PLC}1@%MX5002.6,BOTAO ABRE MORSA MOVEL
BTN_FECHA_MORSA_MOVEL,BIT,{PLC}1@%MX5002.7,BOTAO FECHA MORSA MOVEL
BTN_ABRE_MORSA_FIXA,BIT,{PLC}1@%MX5003.0,BOTAO ABRE MORSA FIXA
BTN_FECHA_MORSA_FIXA,BIT,{PLC}1@%MX5003.1,BOTAO FECHA MORSA FIXA
BTN_ABRE_TRAVE,BIT,{PLC}1@%MX5003.2,BOTAO ABRE TRAVE
BTN_FECHA_TRAVE,BIT,{PLC}1@%MX5003.3,BOTAO FECHA TRAVE
BTN_ABRE_POSIC,BIT,{PLC}1@%MX5003.4,BOTAO ABRE MOTOR POSICIONADOR
BTN_FECHA_POSIC,BIT,{PLC}1@%MX5003.5,BOTAO FECHA MOTOR POSICIONADOR
BTN_RESERVA_2,BIT,{PLC}1@%MX5003.6,BOTAO RESERVA 2
BTN_RESERVA_3,BIT,{PLC}1@%MX5003.7,BOTAO RESERVA 3
BTN_RESERVA_4,BIT,{PLC}1@%MX5004.0,BOTAO RESERVA 4
BTN_RESERVA_5,BIT,{PLC}1@%MX5004.1,BOTAO RESERVA 5
BTN_RESERVA_6,BIT,{PLC}1@%MX5004.2,BOTAO RESERVA 6
BTN_RESERVA_7,BIT,{PLC}1@%MX5004.3,BOTAO RESERVA 7
BTN_RESERVA_8,BIT,{PLC}1@%MX5004.4,BOTAO RESERVA 8
BTN_RESERVA_9,BIT,{PLC}1@%MX5004.5,BOTAO RESERVA 9
BTN_RESERVA_10,BIT,{PLC}1@%MX5004.6,BOTAO RESERVA 10
BTN_RESERVA_11,BIT,{PLC}1@%MX5004.7,BOTAO RESERVA 11
STS_MORSA_ALARME,BIT,{PLC}1@%MX5005.0,STATUS MORSA EM ALARME
STS_TRAVE_M_ALARME,BIT,{PLC}1@%MX5005.1,STATUS TRAVE  MASTER EM ALARME
STS_POSIC_ALARME,BIT,{PLC}1@%MX5005.2,STATUS POSICIONADOR EM ALARME
STS_ELEV_ALARME,BIT,{PLC}1@%MX5005.3,STATUS ELEVADOR EM ALARME
