Class,Identifiers,Address,Type,Initial Value,Comment,PLCType=500
VAR,ALARM_WORD0,%MW500,WORD,,WORD 0 DOS ALARMES QUE VAI PARA IHM,
VAR,ALARM_WORD1,%MW501,WORD,,WORD 1 DOS ALARMES QUE VAI PARA IHM,
VAR,ALARM_WORD2,%MW502,WORD,,WORD 2 DOS ALARMES QUE VAI PARA IHM,
VAR,ALARM_WORD3,%MW503,WORD,,WORD 3 DOS ALARMES QUE VAI PARA IHM,
VAR,ALARM_WORD4,%MW504,WORD,,WORD 4 DOS ALARMES QUE VAI PARA IHM,
VAR,ALARM_WORD5,%MW505,WORD,,WORD 5 DOS ALARMES QUE VAI PARA IHM,
VAR,FLT_0,,BOOL,FALSE,,
VAR,FLT_1,,BOOL,FALSE,,
VAR,FLT_2,,BOOL,FALSE,,
VAR,FLT_3,,BOOL,FALSE,,
VAR,FLT_4,,BOOL,FALSE,,
VAR,FLT_5,,BOOL,FALSE,,
VAR,FLT_6,,BOOL,FALSE,,
VAR,FLT_7,,BOOL,FALSE,,
VAR,FLT_8,,BOOL,FALSE,,
VAR,FLT_9,,BOOL,FALSE,,
VAR,FLT_10,,BOOL,FALSE,,
VAR,FLT_11,,BOOL,FALSE,,
VAR,FLT_12,,BOOL,FALSE,,
VAR,FLT_13,,BOOL,FALSE,,
VAR,FLT_14,,BOOL,FALSE,,
VAR,FLT_15,,BOOL,FALSE,,
VAR,FLT_16,,BOOL,FALSE,,
VAR,FLT_17,,BOOL,FALSE,,
VAR,FLT_18,,BOOL,FALSE,,
VAR,FLT_19,,BOOL,FALSE,,
VAR,FLT_20,,BOOL,FALSE,,
VAR,FLT_21,,BOOL,FALSE,,
VAR,FLT_22,,BOOL,FALSE,,
VAR,FLT_23,,BOOL,FALSE,,
VAR,FLT_24,,BOOL,FALSE,,
VAR,FLT_25,,BOOL,FALSE,,
VAR,FLT_26,,BOOL,FALSE,,
VAR,FLT_27,,BOOL,FALSE,,
VAR,FLT_28,,BOOL,FALSE,,
VAR,FLT_29,,BOOL,FALSE,,
VAR,FLT_30,,BOOL,FALSE,,
VAR,FLT_31,,BOOL,FALSE,,
VAR,FLT_32,,BOOL,FALSE,,
VAR,FLT_33,,BOOL,FALSE,,
VAR,FLT_34,,BOOL,FALSE,,
VAR,FLT_35,,BOOL,FALSE,,
VAR,FLT_36,,BOOL,FALSE,,
VAR,FLT_37,,BOOL,FALSE,,
VAR,FLT_38,,BOOL,FALSE,,
VAR,FLT_39,,BOOL,FALSE,,
VAR,FLT_40,,BOOL,FALSE,,
VAR,FLT_41,,BOOL,FALSE,,
VAR,FLT_42,,BOOL,FALSE,,
VAR,FLT_43,,BOOL,FALSE,,
VAR,FLT_44,,BOOL,FALSE,,
VAR,FLT_45,,BOOL,FALSE,,
VAR,FLT_46,,BOOL,FALSE,,
VAR,FLT_47,,BOOL,FALSE,,
VAR,WNG_0,,BOOL,FALSE,,
VAR,WNG_1,,BOOL,FALSE,,
VAR,WNG_2,,BOOL,FALSE,,
VAR,WNG_3,,BOOL,FALSE,,
VAR,WNG_4,,BOOL,FALSE,,
VAR,WNG_5,,BOOL,FALSE,,
VAR,WNG_6,,BOOL,FALSE,,
VAR,WNG_7,,BOOL,FALSE,,
VAR,WNG_8,,BOOL,FALSE,,
VAR,WNG_9,,BOOL,FALSE,,
VAR,WNG_10,,BOOL,FALSE,,
VAR,WNG_11,,BOOL,FALSE,,
VAR,WNG_12,,BOOL,FALSE,,
VAR,WNG_13,,BOOL,FALSE,,
VAR,WNG_14,,BOOL,FALSE,,
VAR,WNG_15,,BOOL,FALSE,,
VAR,WNG_16,,BOOL,FALSE,,
VAR,WNG_17,,BOOL,FALSE,,
VAR,WNG_18,,BOOL,FALSE,,
VAR,WNG_19,,BOOL,FALSE,,
VAR,WNG_20,,BOOL,FALSE,,
VAR,WNG_21,,BOOL,FALSE,,
VAR,WNG_22,,BOOL,FALSE,,
VAR,WNG_23,,BOOL,FALSE,,
VAR,WNG_24,,BOOL,FALSE,,
VAR,WNG_25,,BOOL,FALSE,,
VAR,WNG_26,,BOOL,FALSE,,
VAR,WNG_27,,BOOL,FALSE,,
VAR,WNG_28,,BOOL,FALSE,,
VAR,WNG_29,,BOOL,FALSE,,
VAR,WNG_30,,BOOL,FALSE,,
VAR,WNG_31,,BOOL,FALSE,,
VAR,WNG_32,,BOOL,FALSE,,
VAR,WNG_33,,BOOL,FALSE,,
VAR,WNG_34,,BOOL,FALSE,,
VAR,WNG_35,,BOOL,FALSE,,
VAR,WNG_36,,BOOL,FALSE,,
VAR,WNG_37,,BOOL,FALSE,,
VAR,WNG_38,,BOOL,FALSE,,
VAR,WNG_39,,BOOL,FALSE,,
VAR,WNG_40,,BOOL,FALSE,,
VAR,WNG_41,,BOOL,FALSE,,
VAR,WNG_42,,BOOL,FALSE,,
VAR,WNG_43,,BOOL,FALSE,,
VAR,WNG_44,,BOOL,FALSE,,
VAR,WNG_45,,BOOL,FALSE,,
VAR,WNG_46,,BOOL,FALSE,,
VAR,WNG_47,,BOOL,FALSE,,
