Define Name,Type,Address,Description
BTN_MAN,BIT,{PLC}1@%MX5000.0,BOTAO MANUAL
BTN_AUT,BIT,{PLC}1@%MX5000.1,BOTAO AUTOMATICO
BTN_PASSO_ESTEIRA,BIT,{PLC}1@%MX5000.2,BOTAO PASSO ESTEIRA
BTN_PASSO_ELEVADOR,BIT,{PLC}1@%MX5000.3,BOTAO PASSO ELEVADOR
BTN_ABRE_MORSA_MOVEL,BIT,{PLC}1@%MX5000.4,BTATUS ABRE MORSA MOVEL
BTN_FECHA_MORSA_MOVEL,BIT,{PLC}1@%MX5000.5,BTATUS FECHA MORSA MOVEL
BTN_ABRE_MORSA_FIXA,BIT,{PLC}1@%MX5000.6,BTATUS ABRE MORSA FIXA
BTN_FECHA_MORSA_FIXA,BIT,{PLC}1@%MX5000.7,BTATUS FECHA MORSA FIXA
BTN_EXPULSA_LAYERS,BIT,{PLC}1@%MX5001.0,BOTAO EXPULSA LAYERS
BTN_HOME_ELEVADOR,BIT,{PLC}1@%MX5001.1,BOTAO HOME ELEVADOR
BTN_HOME_TRAVE,BIT,{PLC}1@%MX5001.2,BOTAO HOME TRAVE
BTN_HOME_MORSA,BIT,{PLC}1@%MX5001.3,BOTAO HOME MORSA
BTN_SETUP_MACHINE,BIT,{PLC}1@%MX5001.4,BOTAO SETUP MACHINE
BTN_DESB_ELEVADOR,BIT,{PLC}1@%MX5001.5,BOTAO DESB ELEVADOR
BTN_RESERVA_1,BIT,{PLC}1@%MX5001.6,BOTAO RESERVA 1
BTN_RESERVA_2,BIT,{PLC}1@%MX5001.7,BOTAO RESERVA 2
STS_VALV_MORSA_FIXA,BIT,{PLC}1@%MX5002.0,STATUS VALV MORSA FIXA
STS_VALV_MORSA_MOVEL,BIT,{PLC}1@%MX5002.1,STATUS VALV MORSA MOVEL
STS_VALV_POSICIONADOR,BIT,{PLC}1@%MX5002.2,STATUS VALV POSICIONADOR
STS_VALV_TRAVE,BIT,{PLC}1@%MX5002.3,STATUS VALV TRAVE
STS_SENSOR_RUN,BIT,{PLC}1@%MX5002.4,STATUS SENSOR RUN
STS_SENSOR_STOP,BIT,{PLC}1@%MX5002.5,STATUS SENSOR STOP
TAGS_RESERVA1,BIT,{PLC}1@%MX5002.6,TAGS RESERVA
TAGS_RESERVA2,BIT,{PLC}1@%MX5002.7,TAGS RESERVA
TAGS_RESERVA3,BIT,{PLC}1@%MX5003.0,TAGS RESERVA
TAGS_RESERVA4,BIT,{PLC}1@%MX5003.1,TAGS RESERVA
TAGS_RESERVA5,BIT,{PLC}1@%MX5003.2,TAGS RESERVA
TAGS_RESERVA6,BIT,{PLC}1@%MX5003.3,TAGS RESERVA
TAGS_RESERVA7,BIT,{PLC}1@%MX5003.4,TAGS RESERVA
TAGS_RESERVA8,BIT,{PLC}1@%MX5003.5,TAGS RESERVA
TAGS_RESERVA9,BIT,{PLC}1@%MX5003.6,TAGS RESERVA
TAGS_RESERVA10,BIT,{PLC}1@%MX5003.7,TAGS RESERVA
TAGS_RESERVA11,BIT,{PLC}1@%MX5004.0,TAGS RESERVA
TAGS_RESERVA12,BIT,{PLC}1@%MX5004.1,TAGS RESERVA
TAGS_RESERVA13,BIT,{PLC}1@%MX5004.2,TAGS RESERVA
TAGS_RESERVA14,BIT,{PLC}1@%MX5004.3,TAGS RESERVA
TAGS_RESERVA15,BIT,{PLC}1@%MX5004.4,TAGS RESERVA
TAGS_RESERVA16,BIT,{PLC}1@%MX5004.5,TAGS RESERVA
TAGS_RESERVA17,BIT,{PLC}1@%MX5004.6,TAGS RESERVA
TAGS_RESERVA18,BIT,{PLC}1@%MX5004.7,TAGS RESERVA
TAGS_RESERVA19,BIT,{PLC}1@%MX5005.0,TAGS RESERVA
TAGS_RESERVA20,BIT,{PLC}1@%MX5005.1,TAGS RESERVA
TAGS_RESERVA21,BIT,{PLC}1@%MX5005.2,TAGS RESERVA
TAGS_RESERVA22,BIT,{PLC}1@%MX5005.3,TAGS RESERVA
TAGS_RESERVA23,BIT,{PLC}1@%MX5005.4,TAGS RESERVA
TAGS_RESERVA24,BIT,{PLC}1@%MX5005.5,TAGS RESERVA
TAGS_RESERVA25,BIT,{PLC}1@%MX5005.6,TAGS RESERVA
TAGS_RESERVA26,BIT,{PLC}1@%MX5005.7,TAGS RESERVA
TAGS_RESERVA27,BIT,{PLC}1@%MX5006.0,TAGS RESERVA
TAGS_RESERVA28,BIT,{PLC}1@%MX5006.1,TAGS RESERVA
TAGS_RESERVA29,BIT,{PLC}1@%MX5006.2,TAGS RESERVA
