Class,Identifiers,Address,Type,Initial Value,Comment
VAR,E_CPU_ENC_A,X0.0,BOOL,,RODA DE MEDIDA CANAL A
VAR,E_CPU_ENC_B,X0.1,BOOL,,RODA DE MEDIDA CANAL B
VAR,E_CPU_FT_PRECORTE,X0.2,BOOL,,SENSOR INDUTIVO OU LASER DETECTOR DE PRÉ-CORTE
VAR,E_CPU_FT_LOOP_DESB,X0.3,BOOL,,FOTOCÉLULA LOOPING DESBOBINADOR
VAR,E_CPU_FT_FIMDEFITA,X0.4,BOOL,,FOTOCÉLULA FIM DE FITA ALIMENTADOR
VAR,E_CPU_RESERVA_X0_5,X0.5,BOOL,,RESERVA_X0_5
VAR,E_CPU_RESERVA_X0_6,X0.6,BOOL,,RESERVA_X0_6
VAR,E_CPU_RESERVA_X0_7,X0.7,BOOL,,RESERVA_X0_7
VAR,E_CPU_RELE_CPU_EMER,X0.8,BOOL,,SINAL RELÉ DE EMERGÊNCIA OK
VAR,E_CPU_KA_EMER,X0.9,BOOL,,SINAL CONTATOR DE EMERGÊNCIA HABILITADO
VAR,E_CPU_BAR_24L_B,X0.10,BOOL,,SINAL BARRAMENTO 24L-B
VAR,E_CPU_BAR_24L_S,X0.11,BOOL,,SINAL BARRAMENTO 24L-S
VAR,E_CPU_FB_DJT_UNI_HIDR,X0.12,BOOL,,SINAL DISJUNTOR MOTOR. UNID. HIDRÁULICA
VAR,E_CPU_RESERVA_X0_13,X0.13,BOOL,,RESERVA_X0_13
VAR,E_CPU_RESERVA_X0_14,X0.14,BOOL,,RESERVA_X0_14
VAR,E_CPU_RESERVA_X0_15,X0.15,BOOL,,RESERVA_X0_15
VAR,S_CPU_TRAIN_PULSE_CPU_ALIM,Y0.0,BOOL,,TREM DE PULSO ALIMENTADOR
VAR,S_CPU_TRAIN_SING_ALIM,Y0.1,BOOL,,TREM DE DIREÇÃO ALIMENTADOR
VAR,S_CPU_LUZ_AUTO_ON,Y0.2,BOOL,,LUZ BOTÃO HABILITA AUTOMÁTICO
VAR,S_CPU_LUZ_COMANDO_ON,Y0.3,BOOL,,LUZ BOTÃO HABILITA COMANDO
VAR,S_CPU_LUZ_EMER_ON,Y0.4,BOOL,,LUZ BOTÃO REARME EMERGÊNCIA
VAR,S_CPU_LUZ_COLUN_VD,Y0.5,BOOL,,COLUNA LUMINOSA VERDE
VAR,S_CPU_LUZ_COLUN_AM,Y0.6,BOOL,,COLUNA LUMINOSA AMARELO 
VAR,S_CPU_LUZ_COLUN_VM,Y0.7,BOOL,,COLUNA LUMINOSA VERMELHO
VAR,S_CPU_RESERVA_Y0_8,Y0.8,BOOL,,RESERVA_Y0_8
VAR,S_CPU_RESERVA_Y0_9,Y0.9,BOOL,,RESERVA_Y0_9
VAR,S_CPU_RESERVA_Y0_10,Y0.10,BOOL,,RESERVA_Y0_10
VAR,S_CPU_RESERVA_Y0_11,Y0.11,BOOL,,RESERVA_Y0_11
VAR,E_EXP1_SI_P1_ALTA,X1.0,BOOL,,SENSOR INDUTIVO PRENSA DE ESTAMPO  P1 ALTA
VAR,E_EXP1_SI_P1_BAIXA,X1.1,BOOL,,SENSOR INDUTIVO PRENSA DE ESTAMPO P1 BAIXA
VAR,E_EXP1_SI_P2_ALTA,X1.2,BOOL,,SENSOR INDUTIVO PRENSA DE ESTAMPO  P2 ALTA
